genename	logL1	k1	BMrate_background	BMrate_specificspecies	logL.multiple	k2	P.chisq
ENSG00000197948	-10.8980881300787	2	0.00940072879959775	0.0630063226764963	-10.1494660555763	3	0.221095881975729
ENSG00000171643	-13.8112848933771	2	0.0339339121994925	3.35300090931884e-06	-13.2282164549669	3	0.280196432450825
ENSG00000082269	-17.9053631692024	2	0.104030069042325	0.1435531527679	-17.8936860653622	3	0.878539566592808
ENSG00000169239	-33.9563437213318	2	11.401943226058	0.00105953650493839	-33.5902197532393	3	0.392155513926933
ENSG00000151287	-13.3153705895477	2	0.0257695373084764	0.0595102264894656	-13.2163264773357	3	0.656268421576391
ENSG00000137648	-18.4347887192684	2	0.138030403742536	0.0241462169666025	-18.3207492288896	3	0.632951908107228
ENSG00000140650	-25.6241298097985	2	1.00708658259924	9.79987123749834e-05	-25.0966454769903	3	0.304365527305654
ENSG00000064012	-18.1077874074025	2	0.117059354962786	0.091552386144488	-18.1026348195163	3	0.919142117815757
ENSG00000140307	-40.215443877982	2	70.2115094710217	7.95848175282037	-40.0758860113385	3	0.597281382936707
ENSG00000089053	-28.1848917450391	2	2.18933349900996	0.752197639202788	-28.1222959473947	3	0.723470603605239
ENSG00000089050	-21.0071287499049	2	0.232154734519916	0.53254795033751	-20.9102315155634	3	0.65977710096893
ENSG00000156502	-13.5825788217082	2	0.0319261709454415	3.14090553785526e-06	-13.0144810531049	3	0.286457667318511
ENSG00000171462	-7.8280609413227	2	0.00609378124913271	0.00606749503626034	-7.82805132610146	3	0.996501085677087
ENSG00000111371	-13.48550418409	2	0.0307395855468274	3.05498760537796e-06	-12.8817269724435	3	0.271817003503947
ENSG00000111802	-22.6415476533364	2	0.113348181571909	3.25044843638814	-19.5896403171579	3	0.0134890392767821
ENSG00000124596	-31.2994428521485	2	5.07782230326289	3.92566202471581	-31.2938253524025	3	0.915586096694839
ENSG00000161944	-16.3261220323295	2	0.0695526863501269	0.062110899734058	-16.3249552504792	3	0.961471596896662
ENSG00000161940	-16.2668844573121	2	0.0685895008681036	0.0592885400842365	-16.2649803486774	3	0.950793175129653
ENSG00000135452	-21.3817150833295	2	0.319732638663286	0.0604671653164544	-21.2729943427028	3	0.64099633451368
ENSG00000135454	-9.36204563475199	2	0.00936711141732389	0.0103745232833621	-9.36079977329983	3	0.960188402313491
ENSG00000142655	-20.9373437526263	2	0.115508260189045	1.56726145309533	-19.2892127006212	3	0.0694377255154936
ENSG00000188488	-8.89086619000568	2	0.00896469394501556	8.22030173525918e-07	-8.54773773809585	3	0.407440472018085
ENSG00000121966	-18.3563144481568	2	0.13092380473449	1.22856955253464e-05	-17.9558458413466	3	0.370813305715467
ENSG00000121964	-23.9094912793774	2	0.460926511082087	1.87865469606696	-23.5642377399465	3	0.40599195794571
ENSG00000160094	-17.5421768252327	2	0.108792243268184	0.00647934379032407	-17.3764326327667	3	0.564783984669326
ENSG00000151364	-16.9557224480355	2	0.088732408581859	8.23395512282215e-06	-16.5942265692065	3	0.395164308430244
ENSG00000160097	-7.3182552215136	2	0.00578442586578709	5.24507476501514e-07	-7.03632357173919	3	0.452707835023595
ENSG00000102103	-27.5003490972977	2	1.68696975027734	0.000167505627465703	-26.9021800576076	3	0.274054808530398
ENSG00000102100	-7.88422231118748	2	0.00355709713146644	0.0334346322366915	-6.77494471980573	3	0.136360617485956
ENSG00000156885	-37.4911732755023	2	25.9462886320348	57.5482456652618	-37.4031910241296	3	0.674864469233568
ENSG00000102104	-6.48256428254154	2	0.000849822485522163	1.00463142652679	-2.50857860297227	3	0.00481413101010887
ENSG00000106628	-14.6393200822981	2	0.0461647266964793	0.0119127881663769	-14.5535014183527	3	0.67866074335494
ENSG00000109132	-11.3718752709804	2	0.0175981117976996	1.67009675234747e-06	-10.9245452338616	3	0.344217588474499
ENSG00000100038	-14.764191047466	2	0.0447779116378011	0.0375310639601961	-14.7614427401802	3	0.94089965835436
ENSG00000131482	-8.7409151899686	2	0.00171867464052827	1.0087559651532	-5.55262650539542	3	0.0115636218830148
ENSG00000103671	-16.7784448877473	2	0.0868017412399737	0.00949028819862776	-16.6369739303082	3	0.594779432914669
ENSG00000118402	-7.18630608281245	2	0.00528602500589779	5.05101767285939e-07	-6.69406434864382	3	0.321094411096268
ENSG00000188428	-24.6173851492959	2	0.763730345369201	7.35020275957066e-05	-24.1285529184193	3	0.322776093927234
ENSG00000176018	-8.11125989868921	2	0.00723276704856259	0.00137759209557114	-7.98503438001718	3	0.615354490102589
ENSG00000027001	-13.6445482573586	2	0.0320537421795503	3.19701224184982e-06	-13.0284509087147	3	0.266980645919277
